,MedHouseVal
15355,1.684
15945,3.35
5801,1.721
2296,1.082
10107,1.914
1724,1.122
7371,1.552
16987,3.086
17811,3.359
17905,5.00001
15092,2.611
13261,1.833
17859,2.78
16760,3.864
12636,1.752
11233,1.895
7993,1.432
3875,1.884
5038,0.966
3073,0.725
751,2.108
8837,5.00001
2101,0.528
11159,1.625
2702,0.699
13249,1.703
19986,2.25
6304,1.517
1245,1.125
8965,5.00001
11085,1.977
10982,2.324
15353,2.027
6075,1.426
20062,1.984
11845,1.256
17218,1.467
14221,1.125
11658,2.392
7178,1.535
10996,1.828
5703,2.387
13135,1.917
18008,3.83
8475,2.14
13973,2.031
2758,0.544
16456,1.347
17364,2.042
72,0.75
12270,1.346
14554,2.882
3215,0.974
6702,3.168
10643,4.93
13602,1.431
15799,2.302
6588,1.875
11035,1.754
8355,1.557
3992,3.619
17685,2.669
20199,3.994
4346,2.0
2570,0.992
20413,0.798
14069,0.896
10658,5.00001
14795,1.529
13815,0.481
18089,3.277
12985,1.269
10179,1.907
8956,5.00001
5918,3.489
19637,1.188
5792,2.318
5176,0.913
8993,1.196
5369,4.0
5823,2.304
6412,2.836
3594,1.759
1295,1.508
11423,5.00001
6784,2.539
4071,2.952
17541,1.661
5394,4.125
14420,1.711
3445,2.182
18574,0.648
14348,4.222
16876,3.979
3835,5.00001
15295,1.756
346,0.893
12940,2.034
4736,1.109
3482,1.581
4603,3.0
13474,0.758
631,1.448
4777,1.884
11232,1.875
8723,5.00001
5866,1.229
16538,2.361
15793,2.7
16719,2.425
92,1.625
1594,2.795
5972,1.085
437,1.5
13814,0.691
4929,1.32
7933,2.173
17334,1.875
2479,0.572
8603,5.00001
20450,1.12
7876,2.349
20295,2.221
13184,1.149
10977,1.938
18630,0.661
7206,1.488
4421,1.475
1139,0.838
11989,1.878
10934,3.776
16260,1.25
2656,0.725
10594,5.00001
6219,1.612
15309,2.138
6533,4.508
17564,2.639
617,2.454
8929,2.689
9034,1.327
3136,0.949
2433,0.53
8701,4.885
15455,1.582
17795,2.947
6574,1.731
9317,5.00001
2809,1.32
9390,1.407
6099,1.439
3288,0.632
19625,0.496
20231,2.868
5855,2.194
11301,2.225
12171,1.049
942,2.457
5059,0.985
2527,0.755
17116,2.529
629,1.597
19605,0.542
12423,0.881
17829,2.705
14126,1.083
7844,3.196
10466,1.583
3668,1.832
14649,1.368
8740,5.00001
14984,1.483
6319,2.62
17876,2.601
3254,1.023
14885,1.857
8689,3.608
6492,1.75
14890,1.548
12967,1.133
15311,2.055
14167,1.113
13972,2.165
6380,1.738
592,2.639
13624,1.178
1499,2.278
11040,1.784
20239,1.738
3475,2.206
1091,1.597
8811,5.00001
9395,1.316
19060,1.943
13,1.913
6511,2.741
19376,0.694
989,3.275
14413,1.847
3846,2.804
5843,4.974
4380,1.555
6561,3.76
10273,2.432
19561,0.823
9774,3.295
10427,3.155
13792,0.733
18652,0.804
6426,2.072
12449,0.943
16088,2.474
17744,2.083
828,2.039
7128,1.317
5165,1.299
12774,0.965
19047,2.583
16258,2.207
14276,2.527
18480,3.406
239,1.154
18530,2.904
17897,3.678
18917,1.955
4012,2.906
2764,0.3
12515,1.802
19947,1.154
11879,0.886
11784,1.417
3956,2.101
4504,1.411
19666,0.503
14579,1.712
8092,2.548
7134,1.14
11224,1.622
8375,2.025
0,4.526
17526,1.734
10462,4.541
6510,3.039
20435,0.575
12223,0.681
579,2.415
4285,2.2
14538,1.696
3134,1.372
15609,1.15
4918,1.152
13530,0.769
14623,1.369
18890,1.665
13870,0.574
2047,0.58
16943,2.553
18323,2.393
12719,0.894
13600,0.909
12362,1.637
11634,2.25
7470,0.882
17909,5.00001
1058,1.426
4835,1.475
2099,0.554
950,2.06
17417,2.236
5948,1.525
3051,0.565
2027,0.625
1146,0.833
7565,1.975
5267,5.00001
4399,1.5
651,1.889
7528,1.008
8892,3.406
9341,2.584
14091,1.549
4455,1.118
17851,2.726
5387,3.488
5126,1.114
9554,0.599
20093,1.674
13578,1.593
19761,0.889
11627,1.469
11088,2.989
10098,2.058
17139,3.5
13159,1.5
10211,2.594
16324,2.293
875,1.58
12062,1.396
10246,3.8
19667,0.43
12382,1.25
15661,1.625
19235,1.125
12809,2.4
8526,4.381
4576,5.00001
14226,3.615
12019,1.387
2275,0.717
10212,2.643
4930,1.141
18953,1.941
4679,3.55
18886,1.785
5711,3.235
17483,2.585
3553,4.772
19350,0.777
18785,1.713
11420,5.00001
5349,2.309
3197,0.761
664,1.904
18045,2.394
19536,1.152
1448,2.595
9595,0.957
4924,1.232
3969,4.398
14138,0.879
11512,2.58
4132,1.838
9273,4.143
9432,1.094
5965,1.135
14682,1.531
5785,3.453
15345,1.99
576,4.125
4503,1.418
4813,1.058
13669,1.167
909,3.324
10047,1.375
14724,1.17
7535,1.062
12611,1.568
14179,1.991
14856,1.138
9674,2.017
15584,3.722
11602,1.605
10001,1.381
6556,2.34
17873,2.526
13881,0.69
11834,1.401
14954,2.5
1900,0.875
6045,1.585
4253,2.219
9072,3.404
15580,4.6
17752,2.375
17929,5.00001
1719,0.675
14389,2.808
9512,0.832
3525,2.772
7736,1.641
5536,2.263
9804,1.25
15115,5.00001
7394,1.655
6879,1.476
6743,2.188
1584,3.72
2842,0.995
10100,1.617
17698,2.648
13253,1.502
17998,2.25
15949,3.152
13084,1.218
15182,2.086
3558,2.753
12822,1.657
5447,4.208
11094,2.132
14707,1.17
2652,0.534
12633,2.672
7562,1.692
5474,3.572
7100,1.893
10855,1.518
19253,1.559
5763,2.29
6830,1.716
14491,2.04
18786,1.734
11683,0.853
15002,2.854
10416,3.056
6713,2.141
6761,2.598
19461,2.75
20339,0.743
16334,0.738
2814,1.264
10663,5.00001
11648,1.931
14107,1.334
15125,3.821
9368,1.05
16138,1.136
8338,1.485
4011,3.354
18204,5.00001
11776,1.452
3358,1.75
17127,2.265
6214,1.469
16994,5.00001
14087,1.185
5744,1.938
7190,1.693
8087,2.544
18133,5.00001
18569,0.942
17570,3.484
9006,0.984
10764,2.535
14622,1.488
17137,3.353
10637,2.504
91,1.375
7299,1.609
10046,1.744
4868,1.005
3533,3.337
2089,0.494
15120,4.853
716,1.703
7843,4.374
16475,2.069
5657,2.613
20211,2.813
17098,2.368
4039,4.573
6809,2.372
7286,1.56
5044,0.94
25,1.075
1531,3.106
5861,1.938
15098,1.923
3292,0.49
12904,1.588
17707,3.112
6473,1.534
943,2.422
16530,2.625
11133,2.38
11296,2.113
6760,2.109
17496,2.5
9825,1.425
4769,1.207
476,1.827
11595,1.74
13830,2.538
7520,1.202
1563,3.5
3188,0.906
17733,2.298
14015,0.955
17803,3.305
7268,1.62
1910,1.282
20020,1.452
5319,5.00001
2192,0.913
6378,1.392
17015,5.00001
18165,3.734
18904,2.547
10256,3.883
4056,3.659
938,1.904
7744,1.746
5794,3.521
226,2.297
7085,2.056
5480,3.294
1431,1.666
18607,1.283
8284,1.92
9729,3.64
16125,0.623
5610,2.605
12011,1.034
8497,3.397
6571,3.154
4586,2.823
16744,4.592
7688,2.189
10350,3.873
11599,1.761
20033,2.293
4780,1.534
17019,3.5
5232,5.00001
7146,1.428
20206,3.218
11127,2.18
11753,1.305
2261,0.696
11221,1.818
15917,3.486
4463,1.375
17054,5.00001
1143,0.875
10343,4.029
17947,4.314
13985,1.4
11112,1.654
12288,0.975
6749,2.266
13055,1.365
17804,3.024
13995,1.021
5573,3.5
8431,2.078
4164,2.042
17278,1.115
14858,1.695
13353,1.129
18887,0.938
10846,1.832
12550,0.697
14743,1.5
14231,1.917
14764,1.549
14906,2.356
11968,1.443
14061,1.373
15101,2.409
7207,1.125
9902,1.894
6524,1.76
18794,1.625
6305,1.639
11699,1.394
3669,1.603
10549,3.312
157,2.873
9990,0.85
9146,0.917
8444,2.423
17320,2.809
3857,2.236
8732,5.00001
10840,1.392
11038,1.181
12564,1.093
1450,2.441
4716,2.594
2194,1.193
14486,1.778
15760,1.951
4413,1.592
2789,0.679
7939,2.128
15982,2.728
9589,0.346
3170,1.042
9254,2.875
2507,0.14999
16451,1.031
14316,2.294
14437,2.609
12581,1.425
19463,1.575
3903,2.403
18464,2.037
11876,1.195
9218,2.098
5956,1.392
5890,1.568
6271,3.249
3394,1.549
14216,1.625
4093,2.915
19549,0.62
10838,1.635
15631,4.5
14267,2.986
17002,5.00001
13401,0.703
12265,0.909
2199,0.888
6532,4.439
14689,5.00001
17828,2.773
8320,1.772
9956,1.327
19415,1.542
14070,1.006
7432,1.054
20091,2.139
13877,0.738
15571,5.00001
8660,3.434
17587,2.32
2202,3.459
5297,3.0
8088,2.453
3077,0.673
10069,2.266
18650,1.01
2349,1.567
20057,3.591
14572,1.697
9048,1.811
16742,5.00001
19977,2.603
13876,0.608
16841,3.394
15342,2.097
12873,1.254
16432,1.707
8369,2.183
3610,2.33
1375,1.724
4865,0.934
1086,0.787
7481,1.104
438,1.406
13290,1.589
7491,1.33
18911,2.976
16483,2.781
11487,1.813
423,3.918
19701,0.631
1279,1.094
16427,2.742
5712,3.656
10918,4.513
6247,1.993
15643,5.00001
15597,3.227
12743,0.842
17720,2.249
4851,1.177
3437,1.543
4410,1.53
14498,1.875
7782,1.464
3832,2.861
9024,1.524
18808,1.296
8917,3.23
9898,2.145
13526,0.753
15991,3.071
3228,0.688
5154,1.048
13812,0.669
11191,1.91
663,1.941
13161,1.488
11958,1.13
8925,4.925
9622,1.276
18356,2.631
8687,3.669
8971,1.239
17017,5.00001
730,1.793
12888,1.444
1189,0.962
8797,5.00001
4671,3.216
13953,1.3
9894,1.875
9219,2.953
11660,3.94
11252,1.779
9334,4.144
16336,1.509
6196,1.576
16948,2.766
14500,0.875
10803,1.292
8352,1.607
16870,4.38
20265,5.00001
8226,4.325
6568,2.306
11694,1.102
10066,2.887
6757,2.58
18554,0.782
5963,0.926
2821,0.846
2010,0.525
1606,2.063
16775,5.00001
19416,0.818
5333,2.375
15680,4.554
7691,1.984
4103,1.936
15914,2.195
14824,1.737
15303,1.113
14140,0.859
5806,2.5
16034,3.511
47,1.375
18022,3.463
10896,2.365
810,1.932
13946,1.183
246,1.113
8413,1.464
20328,2.765
2418,1.138
7764,1.906
20337,0.866
2459,0.756
10139,2.186
19340,1.06
14354,5.00001
10239,3.049
1372,1.664
8160,2.188
13364,2.625
17668,3.483
3979,2.785
3792,2.25
20013,2.795
3957,2.139
6578,1.488
10893,2.491
17399,3.09
18032,3.116
13063,2.16
1444,1.82
2903,0.695
15740,3.25
2747,0.813
19880,0.427
6269,1.79
1841,0.858
9216,2.856
8483,2.382
12952,1.033
5016,3.125
19742,0.973
7278,1.894
4513,1.448
13115,1.116
9538,0.576
19871,0.519
17084,5.00001
1266,1.194
9464,0.728
9878,2.676
3823,2.25
19081,2.652
16215,1.388
20402,0.927
5872,1.517
18823,1.313
12735,1.03
18731,0.972
15415,1.866
13951,1.192
18695,0.531
2450,0.725
12980,1.295
3807,2.563
14745,1.459
18750,1.037
19541,1.014
9519,1.253
13274,1.646
8825,4.833
2919,0.494
3043,0.8
14060,1.259
17307,1.838
12306,1.993
17355,1.825
6476,1.745
4468,1.292
9162,1.563
14536,1.569
20247,3.576
17367,2.958
1142,0.875
18501,2.451
1540,2.603
8435,2.182
3317,1.125
16657,2.784
14748,0.575
11319,1.588
4516,1.266
11362,4.477
14905,1.553
7807,1.919
10221,3.718
14240,1.598
13856,0.906
3220,0.465
14736,2.049
10262,3.887
7588,1.907
11372,3.5
15382,1.609
1072,1.252
1672,1.789
8876,5.00001
9566,0.972
16278,1.375
7706,1.867
19860,0.608
18039,3.609
13515,0.677
18198,4.75
12879,1.343
19786,0.9
4709,1.58
9684,1.147
8307,1.366
4833,1.8
12627,1.336
20236,2.407
7136,1.241
6195,1.511
8469,2.339
1909,1.286
10012,2.289
8832,3.536
13521,0.952
9731,4.528
6051,1.688
18059,0.4
8213,2.225
3431,2.116
7827,3.374
11581,2.126
19360,1.625
19172,2.662
2071,0.692
5248,5.00001
11189,1.884
3480,1.797
3056,0.672
8153,1.417
13092,1.373
14830,1.55
10081,1.618
6183,1.708
2799,0.547
3070,0.9
221,1.51
10340,5.00001
17713,1.741
13509,0.878
212,1.25
18046,2.502
7318,1.482
1952,1.412
3402,1.443
8464,2.445
3133,1.158
1683,2.356
1370,1.161
