,Unnamed: 0.1,Unnamed: 0,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedInc
11476,11476,11568,25.0,4.57,1.05,1404.0,3.65,33.76,-118.02,3.6289
14186,14186,14302,45.0,3.36,0.91,840.0,2.48,32.72,-117.14,1.6156
18241,18241,18393,19.0,6.81,0.99,866.0,3.18,37.27,-121.86,5.6139
5833,5833,5879,49.0,5.12,0.89,584.0,2.29,34.16,-118.35,5.636
7011,7011,7064,30.0,5.13,1.04,1564.0,3.12,33.94,-118.03,3.4861
1507,1507,1509,26.0,7.98,1.01,1872.0,2.94,37.92,-122.02,7.4713
18507,18507,18659,21.0,4.67,1.1,1486.0,1.97,36.98,-121.94,3.0905
1896,1896,1906,15.0,11.02,2.17,725.0,2.54,38.76,-120.02,4.3333
3847,3847,3870,26.0,4.72,1.2,1098.0,2.03,34.16,-118.46,4.3839
12102,12102,12198,10.0,7.09,1.36,725.0,3.11,33.65,-117.25,3.5125
11339,11339,11430,22.0,6.45,0.99,1871.0,3.08,33.66,-117.97,5.8541
14497,14497,14614,43.0,4.45,1.04,946.0,3.32,32.79,-117.17,2.1447
1083,1083,1084,52.0,4.29,1.18,513.0,2.3,39.73,-121.84,1.3672
19086,19086,19243,18.0,5.75,1.09,2755.0,3.28,38.5,-122.79,3.75
12859,12859,12961,15.0,5.0,0.96,1166.0,2.32,38.72,-121.3,2.2813
3457,3457,3477,24.0,7.02,0.99,2710.0,3.1,34.3,-118.51,7.5078
7445,7445,7503,34.0,4.83,1.07,1166.0,4.78,33.92,-118.27,1.9185
11363,11363,11454,16.0,4.63,1.01,1644.0,2.12,33.67,-118.01,5.041
20278,20278,20456,10.0,4.98,0.93,1053.0,3.16,34.27,-118.77,4.7574
7465,7465,7523,38.0,4.66,0.95,721.0,4.51,33.91,-118.24,1.875
12459,12459,12559,41.0,4.56,1.1,839.0,3.0,38.54,-121.45,1.4702
19547,19547,19719,20.0,5.77,1.03,1205.0,3.02,39.15,-121.74,2.8
15237,15237,15361,17.0,6.65,1.03,1354.0,3.14,33.34,-117.24,4.5764
2584,2584,2598,31.0,5.97,1.52,425.0,2.71,41.32,-123.85,1.0486
15165,15165,15288,15.0,5.68,1.06,747.0,1.77,33.1,-117.31,3.5341
11173,11173,11263,35.0,5.07,1.03,2272.0,5.0,33.79,-117.99,3.9566
14403,14403,14519,16.0,4.65,0.99,1619.0,2.77,32.91,-117.13,4.0
9066,9066,9133,5.0,6.1,1.12,8152.0,3.08,34.55,-118.08,4.5237
305,305,305,43.0,5.5,1.11,1111.0,3.03,37.76,-122.18,1.8913
20056,20056,20230,32.0,5.49,1.27,1344.0,2.24,34.26,-119.29,3.6007
7575,7575,7634,23.0,4.96,1.09,2321.0,3.18,33.84,-118.29,4.7393
11963,11963,12058,13.0,3.98,1.04,2751.0,3.38,33.88,-117.59,2.6111
10317,10317,10394,16.0,6.41,1.07,1003.0,3.06,33.54,-117.67,4.7981
18921,18921,19077,8.0,5.44,1.06,1657.0,1.77,38.27,-122.49,3.5625
2163,2163,2174,9.0,4.04,1.11,620.0,2.19,36.77,-119.85,2.0446
6995,6995,7048,34.0,3.81,0.92,527.0,4.05,33.94,-118.05,1.9453
1599,1599,1602,18.0,7.95,0.96,728.0,3.18,37.87,-122.13,10.3713
15271,15271,15396,14.0,6.52,1.12,1385.0,2.71,33.23,-117.08,4.15
1346,1346,1347,7.0,6.23,0.95,879.0,3.35,38.01,-121.92,6.1237
15723,15723,15854,52.0,5.54,1.09,494.0,2.4,37.73,-122.43,5.0602
8505,8505,8569,27.0,4.71,1.16,553.0,1.7,33.9,-118.43,5.4088
11046,11046,11136,13.0,5.06,1.04,3892.0,2.83,33.85,-117.95,4.1325
14714,14714,14832,31.0,3.81,1.02,1581.0,2.94,32.67,-117.09,2.052
6764,6764,6814,32.0,4.22,1.05,2812.0,2.78,34.1,-118.07,3.3512
622,622,623,45.0,4.91,1.03,1003.0,3.29,37.72,-122.18,3.8047
5978,5978,6025,35.0,5.51,1.02,911.0,3.11,34.08,-117.74,3.4398
6736,6736,6786,27.0,4.37,1.09,2411.0,2.58,34.1,-118.14,3.108
10592,10592,10673,13.0,7.84,0.99,1865.0,2.82,33.62,-117.85,15.0001
3810,3810,3833,35.0,3.47,0.97,1628.0,3.29,34.2,-118.44,2.5197
2812,2812,2826,52.0,9.62,1.75,37.0,2.31,35.42,-119.11,10.0263
15822,15822,15954,46.0,5.14,1.02,1562.0,3.14,37.71,-122.45,4.3846
13626,13626,13735,24.0,6.78,0.95,676.0,2.89,34.04,-117.2,6.0715
3768,3768,3790,6.0,2.66,1.09,542.0,1.69,34.17,-118.37,0.8198
3914,3914,3938,35.0,5.47,0.94,1428.0,3.05,34.22,-118.58,5.6345
10473,10473,10552,16.0,7.32,1.06,1249.0,2.7,33.65,-117.7,6.1863
8222,8222,8285,51.0,4.97,1.1,1171.0,2.07,33.77,-118.14,3.875
1363,1363,1364,42.0,3.93,1.13,54.0,1.8,38.03,-122.14,2.5795
15343,15343,15469,13.0,5.07,1.21,1246.0,2.15,33.16,-117.21,2.6487
16843,16843,16983,36.0,5.79,1.01,445.0,3.2,37.56,-122.29,5.8221
17557,17557,17706,15.0,4.98,1.04,1527.0,4.01,37.31,-121.81,4.4792
20071,20071,20245,36.0,4.8,0.93,1029.0,2.5,34.27,-119.26,3.7337
12625,12625,12726,27.0,7.5,1.06,1662.0,2.89,38.6,-121.35,5.0997
17979,17979,18131,26.0,5.82,0.96,980.0,2.87,37.34,-122.02,6.2475
18988,18988,19145,22.0,4.06,1.09,699.0,2.27,38.34,-122.71,2.6033
9389,9389,9459,22.0,4.76,1.01,1122.0,2.52,39.67,-123.5,2.1793
9619,9619,9692,21.0,4.11,1.05,4907.0,2.56,36.69,-121.65,2.7367
7645,7645,7704,34.0,5.46,1.08,1333.0,2.65,33.96,-118.14,4.0536
15418,15418,15544,5.0,6.03,1.08,5640.0,2.82,33.09,-117.1,4.4375
7912,7912,7974,26.0,3.32,0.95,757.0,3.57,33.87,-118.2,2.525
7681,7681,7740,37.0,4.93,0.99,1003.0,3.11,33.94,-118.15,3.3289
8801,8801,8866,39.0,4.35,1.09,1649.0,2.17,34.06,-118.39,3.3295
9580,9580,9652,34.0,5.17,0.99,1019.0,2.86,37.03,-120.61,1.7841
14780,14780,14899,24.0,3.99,1.03,1334.0,2.8,32.6,-117.08,2.2544
13246,13246,13351,9.0,7.24,1.0,2280.0,3.87,34.02,-117.62,5.5632
17740,17740,17890,16.0,5.12,1.02,1910.0,2.48,37.42,-121.94,4.7049
14769,14769,14888,36.0,5.45,1.01,818.0,2.66,32.62,-117.08,3.4773
78,78,78,23.0,5.37,1.15,1054.0,3.24,37.81,-122.29,0.8026
12780,12780,12882,34.0,5.27,0.93,731.0,2.56,38.67,-121.34,4.0352
13696,13696,13807,37.0,4.05,1.19,782.0,2.64,34.9,-117.02,1.6515
7960,7960,8022,37.0,5.68,1.01,1047.0,2.78,33.84,-118.12,4.4423
8666,8666,8730,52.0,4.29,1.09,1068.0,2.52,33.84,-118.31,3.625
19115,19115,19273,14.0,5.87,1.07,1809.0,2.42,38.44,-122.76,3.8244
8463,8463,8527,36.0,5.38,1.0,1346.0,3.02,33.89,-118.34,6.0088
18079,18079,18231,23.0,4.19,1.08,2699.0,2.32,37.42,-122.09,3.8003
17806,17806,17956,21.0,5.43,1.03,3636.0,2.39,37.33,-121.97,5.1506
1265,1265,1266,22.0,6.38,1.19,527.0,3.21,37.99,-121.67,4.375
3944,3944,3968,35.0,6.26,1.07,793.0,3.18,34.2,-118.58,5.1463
11081,11081,11171,34.0,5.35,0.91,867.0,3.6,33.82,-117.98,5.5486
9142,9142,9209,8.0,6.08,1.02,2383.0,2.78,37.19,-119.77,4.1099
6374,6374,6424,39.0,4.47,1.04,800.0,2.75,34.14,-118.0,3.2723
14475,14475,14592,21.0,4.97,1.03,1471.0,2.55,32.82,-117.17,3.0375
2894,2894,2908,44.0,5.39,1.03,667.0,2.22,35.37,-119.04,2.875
889,889,890,25.0,6.15,0.87,596.0,2.71,37.54,-121.93,6.629
3653,3653,3674,35.0,5.19,0.97,1277.0,3.7,34.22,-118.39,5.0818
14997,14997,15120,5.0,4.55,1.09,2770.0,3.06,32.85,-116.93,3.1142
536,536,537,42.0,5.74,1.04,2037.0,5.74,37.77,-122.3,2.6447
6726,6726,6776,49.0,5.75,0.93,848.0,2.73,34.12,-118.15,6.0199
586,586,587,36.0,5.58,1.01,1950.0,2.38,37.71,-122.11,4.65
16172,16172,16306,16.0,4.68,1.16,451.0,2.28,38.01,-121.36,4.0221
19580,19580,19752,13.0,4.87,1.05,1754.0,2.3,40.18,-122.22,2.3517
11927,11927,12022,12.0,5.72,1.06,4861.0,3.51,33.96,-117.5,4.2985
15714,15714,15845,52.0,4.4,0.96,962.0,1.96,37.75,-122.43,3.775
14928,14928,15051,35.0,5.78,1.11,1590.0,3.14,32.81,-116.88,4.2014
28,28,28,50.0,4.4,1.04,1131.0,2.39,37.84,-122.28,1.6424
12116,12116,12212,6.0,6.35,1.06,43.0,2.53,33.53,-117.19,3.475
9362,9362,9432,19.0,4.79,1.09,815.0,2.42,38.08,-122.81,3.4609
16589,16589,16728,12.0,7.14,1.04,1433.0,3.3,35.5,-120.71,5.2508
788,788,789,29.0,5.32,1.07,1377.0,3.38,37.63,-122.1,3.7895
17815,17815,17965,20.0,5.52,1.07,2042.0,2.53,37.32,-121.99,4.7083
7308,7308,7363,28.0,3.56,1.01,2830.0,4.08,33.97,-118.2,2.754
11616,11616,11710,21.0,17.25,3.19,309.0,2.15,39.14,-120.16,3.9722
13363,13363,13472,6.0,4.94,0.82,910.0,3.89,34.07,-117.38,4.9091
8899,8899,8964,43.0,4.31,0.95,402.0,2.83,33.99,-118.39,5.1322
13215,13215,13320,26.0,4.36,1.18,1182.0,3.24,34.06,-117.67,2.4583
4548,4548,4579,25.0,2.59,1.1,7221.0,2.49,34.07,-118.28,2.0173
1253,1253,1254,52.0,5.02,0.99,985.0,2.49,39.21,-122.01,2.5556
3478,3478,3498,33.0,5.19,1.0,839.0,3.65,34.27,-118.45,3.705
2508,2508,2522,21.0,6.6,1.2,510.0,2.91,39.68,-122.38,2.3851
1546,1546,1549,24.0,4.77,1.11,501.0,1.7,37.73,-121.92,2.4821
19566,19566,19738,12.0,5.63,1.01,2008.0,2.94,40.32,-122.34,2.6352
4733,4733,4767,37.0,4.23,1.06,966.0,3.31,34.03,-118.37,3.0694
15209,15209,15333,21.0,5.13,1.08,855.0,1.53,33.22,-117.33,2.7846
13328,13328,13437,12.0,4.61,1.06,2588.0,3.31,34.09,-117.44,2.375
3082,3082,3098,18.0,5.14,1.11,1128.0,2.12,35.65,-117.67,2.8
14998,14998,15121,31.0,5.67,1.02,599.0,2.63,32.85,-116.94,4.7578
16447,16447,16583,15.0,6.06,1.07,2360.0,3.72,37.75,-121.45,4.6173
9846,9846,9919,17.0,6.92,0.96,370.0,3.01,38.33,-122.32,5.0877
15963,15963,16095,48.0,5.23,1.1,891.0,3.31,37.76,-122.5,3.8333
13321,13321,13430,25.0,6.07,1.27,2319.0,3.3,34.11,-117.42,3.3958
14396,14396,14512,5.0,5.47,0.92,1063.0,3.59,32.91,-117.16,6.0891
17131,17131,17277,23.0,3.79,1.06,1317.0,1.67,34.43,-119.75,3.3776
15213,15213,15337,11.0,6.09,1.09,8738.0,2.54,33.19,-117.31,4.3762
11928,11928,12023,29.0,5.42,0.89,711.0,4.13,33.95,-117.5,4.8214
9253,9253,9320,52.0,3.72,1.08,700.0,1.67,37.97,-122.53,2.5125
10254,10254,10331,5.0,5.91,0.96,1913.0,2.58,33.84,-117.77,6.7274
19551,19551,19723,46.0,5.29,1.07,410.0,3.36,38.85,-121.67,1.7417
20156,20156,20331,20.0,6.56,1.0,4169.0,3.51,34.24,-119.04,5.9316
8726,8726,8791,36.0,7.08,1.12,1433.0,2.3,33.8,-118.38,8.0838
712,712,713,48.0,4.06,0.99,673.0,2.19,37.67,-122.09,2.3357
5454,5454,5496,35.0,4.3,1.01,381.0,2.4,34.0,-118.41,2.8393
13094,13094,13198,29.0,4.41,1.14,649.0,3.28,34.06,-117.69,2.7986
5272,5272,5312,22.0,4.83,1.22,1581.0,1.79,34.05,-118.43,5.2555
10665,10665,10747,24.0,4.31,1.01,465.0,1.97,33.62,-117.89,3.0625
14350,14350,14466,20.0,7.36,0.99,731.0,2.18,32.82,-117.24,7.2559
7222,7222,7276,41.0,4.61,1.13,2054.0,4.28,33.99,-118.25,1.5272
17415,17415,17561,43.0,5.36,1.17,982.0,4.77,37.32,-121.89,2.1149
11469,11469,11561,17.0,3.64,1.05,1468.0,2.1,33.76,-117.99,1.9439
16788,16788,16927,43.0,4.42,1.05,1573.0,3.92,37.58,-122.33,2.7474
14432,14432,14548,15.0,6.09,1.15,673.0,2.27,32.94,-117.25,5.9806
3328,3328,3346,29.0,6.33,1.11,364.0,2.96,41.12,-120.96,2.5
5949,5949,5995,30.0,5.17,1.09,1897.0,4.18,34.09,-117.73,2.4375
4423,4423,4453,48.0,4.18,0.99,2484.0,4.13,34.1,-118.17,3.1146
3393,3393,3412,22.0,5.3,0.99,3152.0,3.77,34.28,-118.38,4.7932
6655,6655,6705,24.0,3.99,1.1,4210.0,1.64,34.14,-118.14,3.6997
1715,1715,1723,31.0,4.99,1.19,956.0,4.12,37.96,-122.36,1.5347
883,883,884,31.0,6.05,1.07,986.0,3.06,37.54,-121.97,4.6349
5502,5502,5544,38.0,6.05,0.97,502.0,2.79,33.97,-118.4,7.5953
17138,17138,17284,30.0,5.78,1.02,1053.0,2.57,34.41,-119.74,5.5959
9073,9073,9140,10.0,5.9,1.09,1119.0,3.02,34.46,-118.27,4.7437
9781,9781,9854,32.0,6.88,0.98,262.0,2.3,36.59,-121.89,6.918
11442,11442,11533,26.0,3.66,1.07,692.0,1.29,33.76,-118.08,1.6111
5538,5538,5582,35.0,4.6,1.04,1141.0,3.5,33.82,-118.3,2.6136
571,571,572,52.0,4.55,1.03,1340.0,2.12,37.76,-122.25,3.567
19355,19355,19519,43.0,3.31,1.01,293.0,3.12,37.64,-121.0,1.2902
9431,9431,9502,18.0,6.1,1.38,1032.0,2.8,39.17,-123.54,2.2946
6591,6591,6641,49.0,4.69,1.16,698.0,4.06,34.15,-118.15,2.3654
7458,7458,7516,36.0,5.21,0.98,1125.0,3.01,33.91,-118.25,3.1111
15617,15617,15747,52.0,4.31,1.11,1696.0,2.51,37.78,-122.44,2.5721
6831,6831,6884,20.0,5.16,1.01,3273.0,2.89,34.04,-118.08,4.7222
2545,2545,2559,50.0,4.1,0.89,235.0,2.83,40.81,-124.15,1.75
14959,14959,15082,28.0,4.33,1.04,1964.0,2.79,32.8,-116.94,2.4141
5222,5222,5261,37.0,7.24,1.1,1925.0,2.54,34.09,-118.53,8.1888
11468,11468,11560,30.0,4.38,1.01,1351.0,3.76,33.76,-117.99,3.369
10609,10609,10690,25.0,4.8,1.15,891.0,1.42,33.61,-117.71,2.395
1506,1506,1508,14.0,5.27,1.06,4741.0,1.97,37.92,-122.05,4.7094
18745,18745,18898,49.0,5.16,1.1,1131.0,2.47,38.11,-122.25,2.6133
18983,18983,19140,14.0,6.3,1.16,1208.0,2.41,38.31,-122.7,4.1964
11819,11819,11913,28.0,5.8,1.01,2399.0,3.71,33.96,-117.43,3.8682
13893,13893,14006,52.0,6.87,0.95,535.0,2.39,32.75,-117.18,5.392
20403,20403,20583,31.0,4.42,0.88,208.0,2.48,38.73,-122.0,3.875
16985,16985,17129,37.0,4.42,0.92,1634.0,3.92,37.47,-122.15,2.7993
8522,8522,8586,7.0,6.01,1.01,1699.0,2.37,33.9,-118.39,8.2037
1368,1368,1369,33.0,4.41,1.02,1206.0,1.88,38.0,-122.13,2.5481
19092,19092,19249,9.0,3.88,1.02,1311.0,2.24,38.46,-122.74,2.6607
16636,16636,16775,23.0,4.13,1.13,1983.0,2.91,37.68,-122.46,2.9413
19751,19751,19924,20.0,5.85,0.95,1039.0,3.0,36.32,-119.33,3.5313
16918,16918,17061,38.0,4.52,1.05,2561.0,2.82,37.49,-122.24,3.8684
7267,7267,7322,27.0,3.22,0.96,2542.0,4.38,33.98,-118.17,2.8427
4284,4284,4313,36.0,4.42,1.42,340.0,2.68,34.09,-118.33,1.4375
3821,3821,3844,22.0,3.53,1.16,3350.0,4.7,34.18,-118.45,2.0192
5398,5398,5440,44.0,4.29,0.99,821.0,2.41,34.0,-118.44,2.599
6929,6929,6982,36.0,5.86,0.94,882.0,2.86,33.96,-118.01,5.3054
4518,4518,4549,43.0,3.72,1.05,2123.0,4.36,34.02,-118.21,1.3615
2399,2399,2412,24.0,5.36,0.95,693.0,2.85,36.61,-119.45,3.7917
8510,8510,8574,35.0,5.06,1.13,724.0,1.81,33.88,-118.44,6.6494
12479,12479,12579,25.0,4.36,1.02,2529.0,3.57,38.52,-121.41,1.8689
10903,10903,10990,24.0,4.31,1.04,1908.0,3.05,33.74,-117.81,3.3047
11765,11765,11859,31.0,5.39,1.14,1345.0,2.32,40.14,-120.94,1.5774
2093,2093,2104,44.0,4.35,0.99,1680.0,4.02,36.75,-119.77,1.7083
9870,9870,9943,17.0,5.02,1.06,1812.0,2.04,38.16,-122.25,2.9375
8994,8994,9060,25.0,5.51,1.11,775.0,2.51,34.68,-118.14,4.5455
7913,7913,7975,42.0,4.68,0.98,1052.0,3.32,33.87,-118.2,3.9469
8693,8693,8757,36.0,6.03,1.01,817.0,2.42,33.81,-118.37,5.1271
20042,20042,20216,34.0,5.86,1.08,445.0,2.19,34.3,-119.25,4.8824
8658,8658,8722,35.0,5.76,1.02,743.0,2.71,33.84,-118.36,5.7654
6544,6544,6594,34.0,7.01,1.04,1699.0,2.38,34.16,-118.18,9.4987
18417,18417,18569,46.0,4.47,1.05,1068.0,3.5,36.92,-121.75,2.4615
1176,1176,1177,38.0,5.23,1.13,779.0,2.83,39.5,-121.54,1.3289
6174,6174,6223,35.0,5.47,0.98,628.0,3.36,34.06,-117.93,3.9375
19429,19429,19598,26.0,4.89,1.02,2446.0,3.52,37.57,-120.91,2.0521
13391,13391,13500,37.0,5.27,1.13,1198.0,3.44,34.14,-117.34,2.225
10040,10040,10114,26.0,3.77,1.04,1236.0,2.38,33.94,-117.94,2.2156
13268,13268,13374,2.0,14.36,1.96,119.0,2.38,34.16,-117.51,4.1
18968,18968,19124,49.0,6.07,1.07,1431.0,2.65,38.24,-122.65,4.275
6197,6197,6246,36.0,4.63,0.8,746.0,3.71,34.05,-117.97,3.1667
399,399,399,52.0,6.12,1.02,1004.0,2.71,37.89,-122.29,5.1696
803,803,804,33.0,4.22,0.98,848.0,2.91,37.65,-122.06,3.8036
1762,1762,1772,38.0,4.2,1.17,773.0,3.12,37.95,-122.36,2.7714
20186,20186,20361,15.0,6.36,1.03,928.0,3.52,34.17,-118.94,5.5681
6112,6112,6161,32.0,5.44,1.03,1669.0,3.36,34.08,-117.94,4.4653
15154,15154,15277,17.0,6.74,1.29,815.0,2.02,33.06,-117.34,4.3182
11882,11882,11976,12.0,6.68,1.02,5008.0,3.36,33.99,-117.44,4.5625
15435,15435,15561,15.0,6.26,1.06,3555.0,3.18,33.13,-117.03,4.7022
17298,17298,17444,40.0,6.51,1.19,1010.0,3.04,34.52,-120.39,2.5667
2439,2439,2452,9.0,5.01,1.05,2157.0,2.8,36.51,-119.56,2.5033
13245,13245,13350,13.0,6.73,1.01,2780.0,3.85,34.02,-117.63,5.6168
6683,6683,6733,45.0,7.25,1.01,1231.0,3.01,34.12,-118.09,7.8347
48,48,48,40.0,3.9,1.22,423.0,2.64,37.82,-122.26,0.9506
20217,20217,20392,14.0,6.16,1.08,1858.0,2.7,34.23,-118.87,6.0145
8332,8332,8396,35.0,2.58,0.97,1376.0,3.84,33.95,-118.37,2.2297
10860,10860,10945,19.0,3.56,1.01,3545.0,5.58,33.74,-117.88,2.5224
11624,11624,11718,20.0,9.79,1.69,409.0,2.35,39.2,-120.1,3.087
1333,1333,1334,16.0,7.1,1.02,1504.0,3.32,38.0,-121.86,5.25
8143,8143,8206,25.0,3.52,1.11,3916.0,3.68,33.79,-118.16,2.4
1234,1234,1235,17.0,13.47,2.59,997.0,2.44,38.25,-120.34,2.9821
12205,12205,12303,16.0,19.12,3.88,657.0,2.38,33.83,-116.75,3.3333
14319,14319,14435,26.0,4.3,1.09,1492.0,1.87,32.8,-117.24,2.9258
888,888,889,21.0,7.03,1.01,4552.0,2.99,37.55,-121.95,6.6478
2084,2084,2095,35.0,4.21,1.0,1407.0,3.68,36.75,-119.76,2.19
8327,8327,8391,29.0,3.69,1.05,1715.0,2.21,33.98,-118.36,2.7712
16266,16266,16402,39.0,4.54,0.86,270.0,2.78,37.97,-121.2,6.0582
7694,7694,7753,19.0,4.13,1.03,1561.0,2.11,33.91,-118.11,3.1369
4053,4053,4080,23.0,3.75,1.07,2391.0,1.95,34.15,-118.37,3.1373
11533,11533,11627,22.0,7.37,0.96,1305.0,3.55,33.81,-118.07,8.5407
17385,17385,17531,46.0,3.24,1.12,898.0,2.43,37.34,-121.89,2.1714
19279,19279,19440,29.0,6.33,0.97,1170.0,2.54,37.68,-121.0,4.9904
