,Unnamed: 0,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedInc,MedHouseVal
46,46,50.0,3.7,1.06,616.0,2.03,37.83,-122.26,2.026,1.425
47,47,43.0,3.98,1.23,558.0,2.21,37.82,-122.27,1.7348,1.375
48,48,40.0,3.9,1.22,423.0,2.64,37.82,-122.26,0.9506,1.875
49,49,40.0,2.69,1.07,700.0,1.99,37.82,-122.27,1.775,1.125
50,50,21.0,2.05,1.03,735.0,1.68,37.82,-122.27,0.9218,1.719
51,51,43.0,4.59,1.12,1061.0,2.61,37.82,-122.27,1.5045,0.938
52,52,41.0,4.47,1.18,1959.0,2.72,37.82,-122.27,1.1108,0.975
53,53,52.0,4.08,1.14,1162.0,2.9,37.82,-122.27,1.2475,1.042
54,54,52.0,5.02,1.01,701.0,3.01,37.82,-122.28,1.6098,0.875
55,55,52.0,4.3,1.1,576.0,2.62,37.82,-122.28,1.4113,0.831
56,56,52.0,4.78,1.11,622.0,2.4,37.82,-122.28,1.5057,0.875
57,57,52.0,6.1,1.37,728.0,2.98,37.82,-122.28,0.8172,0.853
58,58,52.0,4.56,1.12,1074.0,3.53,37.82,-122.28,1.2171,0.803
59,59,2.0,2.77,0.75,94.0,1.65,37.82,-122.29,2.5625,0.6
60,60,52.0,5.99,1.13,554.0,2.96,37.83,-122.29,3.3929,0.757
61,61,49.0,5.87,1.26,86.0,3.74,37.82,-122.29,6.1183,0.75
62,62,50.0,6.23,1.56,377.0,3.09,37.81,-122.29,0.9011,0.861
63,63,52.0,7.7,1.49,521.0,3.28,37.81,-122.3,1.191,0.761
64,64,48.0,6.23,1.37,392.0,2.95,37.81,-122.3,2.5938,0.735
65,65,52.0,5.4,1.12,604.0,3.23,37.81,-122.3,1.1667,0.784
66,66,48.0,4.38,1.07,788.0,2.37,37.81,-122.3,0.8056,0.844
67,67,52.0,6.99,1.66,492.0,3.35,37.8,-122.29,2.6094,0.813
68,68,52.0,6.98,1.33,274.0,3.34,37.81,-122.3,1.8516,0.85
69,69,46.0,4.58,1.05,1823.0,2.98,37.81,-122.29,0.9802,1.292
70,70,26.0,6.05,1.2,392.0,3.09,37.81,-122.29,1.7719,0.825
71,71,46.0,3.38,1.07,582.0,2.1,37.81,-122.29,0.7286,0.952
72,72,49.0,5.55,1.34,560.0,3.68,37.81,-122.29,1.75,0.75
73,73,46.0,1.71,0.57,18.0,2.57,37.81,-122.29,0.4999,0.675
74,74,20.0,6.28,1.21,290.0,2.18,37.81,-122.29,2.483,1.375
75,75,17.0,2.82,1.05,762.0,1.74,37.81,-122.28,0.9241,1.775
76,76,36.0,5.72,1.1,1236.0,2.43,37.81,-122.28,2.4464,1.021
77,77,19.0,5.83,1.17,721.0,3.48,37.81,-122.28,1.1111,1.083
78,78,23.0,5.37,1.15,1054.0,3.24,37.81,-122.29,0.8026,1.125
79,79,38.0,4.41,1.14,344.0,2.22,37.8,-122.28,2.0114,1.313
80,80,17.0,3.2,1.0,609.0,2.11,37.81,-122.28,1.5,1.625
81,81,52.0,3.75,1.0,183.0,3.27,37.81,-122.27,1.1667,1.125
82,82,52.0,3.91,1.11,200.0,2.3,37.81,-122.28,1.5208,1.125
83,83,52.0,2.49,1.06,346.0,2.23,37.81,-122.28,0.8075,1.375
84,84,35.0,5.61,1.09,467.0,2.76,37.81,-122.28,1.8088,1.188
85,85,52.0,6.72,1.24,377.0,3.28,37.81,-122.28,2.4083,0.982
86,86,40.0,2.32,1.19,582.0,1.53,37.81,-122.27,0.977,1.188
87,87,10.0,2.65,1.05,546.0,1.65,37.81,-122.27,0.76,1.625
88,88,10.0,2.69,1.08,125.0,3.21,37.8,-122.27,0.9722,1.375
89,89,52.0,2.93,0.92,396.0,4.66,37.8,-122.27,1.2434,5.00001
90,90,16.0,2.75,1.08,800.0,2.21,37.8,-122.27,2.0938,1.625
91,91,52.0,2.44,0.99,904.0,10.27,37.8,-122.28,0.8668,1.375
92,92,52.0,2.82,0.91,191.0,5.62,37.8,-122.28,0.75,1.625
93,93,27.0,3.49,1.15,718.0,2.38,37.79,-122.27,2.6354,1.875
94,94,39.0,3.67,1.33,1327.0,2.84,37.8,-122.27,1.8477,1.792
95,95,36.0,2.29,1.07,3469.0,1.49,37.8,-122.26,2.0096,1.3
96,96,31.0,3.89,1.13,2048.0,1.74,37.82,-122.26,2.8345,1.838
97,97,29.0,3.68,1.18,202.0,2.22,37.81,-122.26,2.0062,1.25
98,98,22.0,2.95,1.02,2024.0,1.62,37.82,-122.26,1.2185,1.7
99,99,37.0,3.71,1.11,1838.0,1.88,37.82,-122.26,2.6104,1.931
100,100,29.0,3.72,1.13,2304.0,1.84,37.81,-122.25,2.4912,2.578
101,101,28.0,3.88,1.07,2563.0,1.71,37.81,-122.25,3.2177,2.734
102,102,39.0,3.75,1.06,389.0,1.71,37.81,-122.25,3.125,2.375
103,103,52.0,3.52,1.14,895.0,1.46,37.81,-122.25,2.5795,3.5
104,104,34.0,3.28,1.07,2689.0,1.5,37.81,-122.26,2.8406,3.357
105,105,52.0,6.18,0.92,674.0,2.76,37.82,-122.24,4.9306,3.134
106,106,52.0,4.44,1.06,709.0,1.55,37.81,-122.24,3.2727,2.685
107,107,52.0,4.17,1.09,686.0,1.63,37.81,-122.25,3.1691,2.594
108,108,52.0,4.85,1.05,1444.0,2.01,37.82,-122.24,3.9,2.757
109,109,28.0,4.16,1.07,1520.0,1.9,37.82,-122.25,3.9063,2.25
110,110,52.0,5.63,1.14,550.0,2.17,37.82,-122.25,5.0917,2.625
111,111,32.0,3.73,1.07,1806.0,1.77,37.82,-122.25,2.6429,2.185
112,112,26.0,3.25,0.98,1749.0,1.44,37.82,-122.25,3.0233,2.55
113,113,52.0,4.58,1.08,939.0,1.81,37.83,-122.25,3.1484,2.241
114,114,35.0,3.82,1.01,675.0,1.6,37.83,-122.25,3.4722,2.431
115,115,52.0,4.4,0.99,534.0,1.84,37.83,-122.25,3.1429,2.316
116,116,28.0,3.02,1.05,2558.0,1.54,37.83,-122.25,2.4234,2.185
117,117,52.0,4.04,1.07,1786.0,1.72,37.83,-122.25,3.0897,2.341
118,118,50.0,6.74,1.07,970.0,2.6,37.84,-122.23,5.8596,3.276
119,119,47.0,6.55,0.94,1098.0,2.26,37.84,-122.23,5.2868,3.476
120,120,41.0,6.85,1.08,794.0,2.11,37.83,-122.24,5.956,3.661
121,121,37.0,7.11,1.15,98.0,2.09,37.85,-122.24,4.9643,3.35
122,122,52.0,6.95,1.02,1061.0,2.63,37.85,-122.23,6.3434,3.736
123,123,52.0,6.36,1.03,1177.0,2.12,37.84,-122.24,5.1773,3.895
124,124,52.0,7.12,0.99,901.0,2.46,37.85,-122.24,7.2354,3.911
125,125,28.0,5.53,1.1,2031.0,2.12,37.85,-122.22,5.457,3.373
126,126,50.0,6.13,0.99,1031.0,2.15,37.84,-122.22,7.5,2.952
127,127,44.0,5.74,1.0,1358.0,2.27,37.84,-122.21,6.0194,2.923
128,128,40.0,7.63,1.03,1616.0,2.47,37.83,-122.21,7.5544,4.115
129,129,30.0,6.45,1.01,844.0,2.46,37.84,-122.2,6.0666,3.115
130,130,34.0,6.12,0.99,1140.0,2.3,37.84,-122.21,7.0548,3.259
131,131,18.0,8.34,1.08,533.0,2.75,37.84,-122.19,11.6017,3.926
132,132,35.0,6.47,1.04,1072.0,2.42,37.84,-122.2,7.4882,3.193
133,133,34.0,6.61,1.03,1627.0,2.12,37.83,-122.21,6.8976,3.333
134,134,28.0,6.98,0.97,463.0,2.44,37.83,-122.19,8.2049,3.352
135,135,26.0,7.53,1.06,542.0,2.57,37.83,-122.2,8.401,3.512
136,136,29.0,6.66,1.01,661.0,2.46,37.83,-122.19,6.8538,3.689
137,137,32.0,6.98,1.0,635.0,2.41,37.82,-122.19,8.317,3.659
138,138,37.0,6.98,1.03,420.0,2.39,37.82,-122.2,7.0175,3.667
139,139,39.0,7.54,1.07,1265.0,2.53,37.82,-122.2,6.3302,3.628
140,140,30.0,5.62,0.73,126.0,2.42,37.81,-122.18,6.3624,4.833
141,141,52.0,6.79,0.95,813.0,2.32,37.82,-122.21,7.0549,3.314
142,142,45.0,6.96,1.02,1067.0,2.5,37.81,-122.2,6.7851,3.235
143,143,50.0,5.13,1.1,1260.0,2.28,37.8,-122.21,2.8929,2.167
144,144,38.0,4.63,1.1,951.0,1.95,37.8,-122.21,3.0812,2.331
145,145,52.0,6.2,0.95,510.0,2.28,37.81,-122.21,5.2402,2.964
146,146,52.0,6.4,1.09,765.0,2.48,37.81,-122.22,6.5217,2.737
147,147,52.0,4.75,1.01,1129.0,2.45,37.8,-122.22,3.2632,2.277
148,148,52.0,5.18,1.05,1073.0,2.43,37.8,-122.22,3.0298,1.996
149,149,52.0,5.28,1.05,1185.0,2.3,37.8,-122.22,4.5428,2.398
150,150,52.0,5.95,1.0,756.0,2.22,37.81,-122.22,4.072,2.701
151,151,52.0,5.65,1.03,1034.0,1.98,37.81,-122.22,5.3509,3.021
152,152,52.0,4.43,1.06,787.0,1.71,37.8,-122.23,3.1603,2.695
153,153,52.0,6.73,1.08,612.0,2.87,37.81,-122.23,4.7708,3.147
154,154,52.0,7.7,1.06,1021.0,2.69,37.81,-122.22,8.1564,3.901
155,155,52.0,8.97,1.13,861.0,3.34,37.81,-122.23,8.8793,4.103
156,156,52.0,7.6,0.96,953.0,2.91,37.81,-122.24,6.8591,3.524
157,157,52.0,5.82,0.93,634.0,2.48,37.81,-122.24,6.0302,2.873
158,158,52.0,7.99,1.04,878.0,2.49,37.81,-122.23,7.508,3.487
159,159,52.0,4.33,1.14,918.0,1.9,37.81,-122.24,2.7477,2.438
160,160,52.0,5.07,0.96,360.0,2.06,37.8,-122.24,2.1944,2.115
161,161,52.0,4.28,1.05,1197.0,2.45,37.8,-122.25,3.0149,2.184
162,162,52.0,4.85,0.97,1048.0,2.02,37.81,-122.24,3.675,2.699
163,163,46.0,4.33,1.12,1373.0,1.84,37.81,-122.25,3.225,2.188
164,164,42.0,4.06,1.05,1715.0,1.69,37.8,-122.25,2.9345,2.25
165,165,43.0,3.27,1.1,1359.0,1.88,37.8,-122.25,2.1429,2.5
166,166,41.0,3.56,1.14,1062.0,2.57,37.8,-122.25,1.6121,1.714
167,167,29.0,3.19,1.12,1335.0,1.73,37.8,-122.25,1.3929,1.938
168,168,27.0,3.8,1.15,1171.0,2.73,37.79,-122.24,2.3173,1.25
169,169,45.0,3.88,1.14,1475.0,3.21,37.79,-122.25,1.7772,0.975
170,170,50.0,3.21,0.96,742.0,3.79,37.79,-122.25,2.6458,1.25
171,171,52.0,3.69,1.08,1086.0,2.99,37.79,-122.25,2.181,1.388
172,172,36.0,3.09,1.12,1645.0,3.03,37.8,-122.25,2.2303,1.167
173,173,43.0,3.64,1.0,1710.0,2.66,37.8,-122.25,1.6504,1.518
174,174,52.0,4.37,1.0,731.0,3.21,37.8,-122.24,2.2697,1.27
175,175,52.0,4.59,1.07,1118.0,3.22,37.8,-122.24,2.1563,1.286
176,176,52.0,4.73,1.19,1006.0,3.0,37.8,-122.24,2.1348,1.406
177,177,47.0,3.69,1.06,1213.0,2.19,37.8,-122.24,2.6292,1.827
178,178,52.0,4.64,1.12,772.0,3.0,37.8,-122.23,2.3833,1.469
179,179,52.0,4.5,1.05,1321.0,3.29,37.8,-122.24,2.957,1.228
180,180,49.0,4.19,1.11,1487.0,2.2,37.8,-122.24,2.5238,1.693
181,181,52.0,4.21,0.99,488.0,2.62,37.8,-122.23,1.9375,1.266
182,182,51.0,4.06,1.06,949.0,2.42,37.8,-122.23,1.9028,1.279
183,183,50.0,4.21,1.16,1149.0,2.77,37.8,-122.23,2.25,1.235
184,184,52.0,4.47,1.07,844.0,3.01,37.8,-122.23,2.3929,1.119
185,185,43.0,4.84,1.09,4367.0,3.55,37.79,-122.23,2.1917,1.128
186,186,52.0,4.33,0.96,1659.0,4.03,37.79,-122.23,2.9357,1.079
187,187,30.0,3.8,1.0,1011.0,3.84,37.79,-122.23,1.8854,1.375
188,188,39.0,3.78,1.11,1464.0,3.76,37.79,-122.24,2.1638,1.055
189,189,47.0,4.53,1.3,1237.0,4.08,37.79,-122.24,2.125,0.955
190,190,52.0,4.01,1.07,647.0,3.85,37.79,-122.24,3.375,1.161
191,191,43.0,4.55,1.05,1284.0,3.6,37.79,-122.24,2.2542,1.122
192,192,51.0,3.18,0.78,228.0,4.15,37.79,-122.25,2.1,0.75
193,193,39.0,3.75,1.05,381.0,3.1,37.79,-122.25,1.6,1.125
194,194,52.0,3.97,1.04,846.0,3.73,37.79,-122.25,3.625,1.25
195,195,20.0,3.51,1.15,1659.0,2.45,37.8,-122.26,1.6929,1.15
196,196,52.0,2.83,0.93,520.0,3.77,37.77,-122.22,1.6471,0.95
197,197,52.0,4.39,1.16,866.0,3.34,37.77,-122.22,2.59,0.964
198,198,52.0,4.2,1.13,612.0,3.34,37.77,-122.23,2.57,0.72
199,199,52.0,3.75,1.16,415.0,3.29,37.78,-122.23,2.6429,0.713
200,200,52.0,4.05,1.01,994.0,4.67,37.78,-122.23,3.0257,0.808
201,201,50.0,4.03,1.11,1525.0,3.2,37.78,-122.22,1.4886,1.288
202,202,43.0,3.24,1.08,1506.0,3.44,37.78,-122.23,1.9338,1.125
203,203,52.0,3.87,1.01,1008.0,3.95,37.78,-122.23,1.4844,1.194
204,204,44.0,3.12,1.1,2813.0,3.75,37.78,-122.23,1.6009,1.181
205,205,48.0,4.94,1.15,1481.0,4.32,37.79,-122.23,2.0375,1.225
206,206,49.0,5.37,0.99,859.0,3.92,37.79,-122.23,2.293,1.063
207,207,37.0,4.48,1.1,1608.0,3.07,37.79,-122.22,2.1494,1.325
208,208,30.0,4.36,1.04,425.0,3.04,37.79,-122.23,1.6198,1.227
209,209,40.0,5.05,1.08,564.0,3.07,37.79,-122.23,1.3281,1.133
210,210,44.0,5.47,1.15,961.0,3.53,37.79,-122.22,3.5156,1.095
211,211,52.0,5.0,1.01,2273.0,3.32,37.79,-122.22,3.9048,1.647
212,212,52.0,3.91,0.97,600.0,3.08,37.79,-122.21,3.0893,1.25
213,213,46.0,4.49,1.09,1647.0,3.13,37.79,-122.22,2.6042,1.247
214,214,49.0,4.31,1.06,1201.0,2.83,37.79,-122.22,2.5,1.367
215,215,38.0,4.63,1.08,2167.0,3.29,37.79,-122.22,2.7969,1.417
216,216,29.0,4.82,1.11,939.0,2.76,37.79,-122.2,2.8321,1.5
217,217,47.0,5.28,1.05,859.0,2.94,37.79,-122.21,2.9583,1.388
218,218,34.0,4.58,1.08,1517.0,2.94,37.79,-122.21,2.8365,1.392
219,219,35.0,4.52,1.06,1143.0,2.96,37.79,-122.21,2.875,1.438
220,220,39.0,4.32,1.08,1109.0,2.39,37.8,-122.21,3.0682,1.565
221,221,39.0,4.52,1.0,1221.0,2.74,37.8,-122.21,3.0757,1.51
222,222,43.0,6.69,1.1,1115.0,2.45,37.8,-122.2,4.9559,2.73
223,223,52.0,5.77,1.09,706.0,2.63,37.8,-122.2,4.7721,2.171
224,224,52.0,4.98,1.01,1883.0,2.67,37.8,-122.21,3.4861,1.871
225,225,41.0,6.09,1.04,804.0,2.36,37.8,-122.2,5.1184,2.396
226,226,48.0,5.24,1.04,506.0,2.01,37.8,-122.21,4.0977,2.297
227,227,48.0,7.12,1.09,610.0,2.56,37.8,-122.19,4.744,2.573
228,228,46.0,5.84,1.03,768.0,2.31,37.8,-122.19,4.2727,2.469
229,229,50.0,5.26,1.06,462.0,2.51,37.79,-122.19,2.9844,1.799
230,230,40.0,4.51,1.09,667.0,2.84,37.79,-122.2,4.1739,1.696
231,231,46.0,5.12,1.02,1059.0,2.65,37.8,-122.2,3.8487,2.033
232,232,52.0,6.55,0.98,637.0,2.3,37.8,-122.19,4.0114,2.634
233,233,45.0,5.99,0.99,1106.0,2.44,37.79,-122.19,4.6563,2.318
234,234,28.0,4.7,1.14,1737.0,2.6,37.79,-122.19,2.9297,1.405
235,235,35.0,4.62,1.18,1009.0,2.59,37.79,-122.2,2.3036,1.26
236,236,49.0,4.2,0.93,737.0,3.51,37.79,-122.2,2.6667,1.22
237,237,44.0,3.3,0.92,1354.0,2.76,37.79,-122.2,2.619,1.347
238,238,45.0,4.46,1.12,1530.0,3.23,37.79,-122.21,2.4167,1.394
239,239,45.0,4.21,1.1,1410.0,2.94,37.79,-122.2,2.7788,1.154
240,240,46.0,3.93,0.89,1390.0,2.44,37.78,-122.21,2.7352,1.373
241,241,52.0,5.49,1.12,1065.0,3.96,37.78,-122.21,1.8472,1.37
242,242,52.0,4.31,0.91,792.0,3.23,37.78,-122.21,2.6583,1.426
243,243,49.0,3.67,1.0,779.0,3.18,37.78,-122.21,3.0536,1.375
244,244,44.0,4.87,1.16,2269.0,3.72,37.78,-122.22,2.3906,1.117
245,245,43.0,4.18,1.13,1227.0,3.01,37.78,-122.21,1.7188,1.268
246,246,47.0,3.66,1.03,753.0,3.12,37.78,-122.21,2.625,1.113
247,247,40.0,3.66,0.84,547.0,4.05,37.77,-122.22,2.8015,1.148
248,248,50.0,4.04,1.08,1807.0,4.11,37.78,-122.22,1.7276,1.023
249,249,44.0,3.39,1.04,1700.0,3.43,37.78,-122.22,2.0801,1.319
250,250,51.0,4.17,1.18,1543.0,3.93,37.78,-122.22,2.489,1.191
251,251,52.0,4.73,1.05,1085.0,3.62,37.76,-122.21,1.7546,0.806
252,252,52.0,4.31,1.26,353.0,2.58,37.77,-122.21,4.0904,0.806
253,253,52.0,5.0,1.03,473.0,3.17,37.77,-122.21,2.6765,0.888
254,254,49.0,4.7,1.03,1621.0,3.36,37.77,-122.2,2.4338,1.024
255,255,46.0,3.49,1.06,1183.0,3.34,37.77,-122.21,2.3309,0.987
256,256,43.0,3.67,1.18,836.0,3.02,37.77,-122.21,2.2604,1.0
257,257,42.0,3.54,0.97,900.0,3.42,37.77,-122.19,1.8039,0.923
258,258,39.0,5.01,1.11,1888.0,3.52,37.77,-122.2,2.2562,0.948
259,259,41.0,4.54,1.22,1024.0,3.0,37.77,-122.2,2.0562,1.02
260,260,52.0,5.44,1.05,1225.0,2.9,37.78,-122.2,3.5398,1.584
261,261,39.0,4.66,1.06,1071.0,2.85,37.78,-122.2,3.1167,1.216
262,262,50.0,4.94,1.07,1128.0,2.98,37.78,-122.2,2.5401,1.291
263,263,43.0,5.02,1.04,1537.0,3.18,37.77,-122.2,2.898,1.214
264,264,44.0,4.4,1.05,1240.0,3.16,37.78,-122.21,2.3125,1.028
265,265,52.0,6.11,1.07,469.0,2.79,37.78,-122.19,2.875,1.6
266,266,52.0,5.11,1.01,1086.0,2.56,37.77,-122.19,3.3715,1.439
267,267,52.0,5.59,1.07,1144.0,2.74,37.77,-122.19,3.5114,1.512
268,268,52.0,6.65,1.11,1109.0,2.96,37.78,-122.19,4.3125,1.644
269,269,52.0,5.96,1.08,984.0,2.67,37.78,-122.19,3.22,1.565
270,270,33.0,3.02,0.66,575.0,12.23,37.78,-122.18,3.875,2.25
271,271,49.0,5.66,0.98,496.0,2.37,37.78,-122.19,5.2328,1.742
272,272,52.0,5.63,1.02,555.0,2.92,37.78,-122.19,3.7262,1.669
273,273,45.0,5.4,1.02,869.0,2.66,37.78,-122.2,4.5893,1.635
274,274,39.0,5.82,0.9,236.0,2.23,37.79,-122.18,5.2578,2.53
275,275,41.0,6.59,1.09,626.0,2.93,37.79,-122.18,7.0875,2.407
276,276,46.0,6.41,1.18,922.0,2.8,37.79,-122.18,3.9712,2.081
277,277,47.0,4.8,0.95,582.0,2.27,37.79,-122.19,2.9514,1.981
278,278,50.0,4.75,1.08,546.0,2.72,37.79,-122.19,2.6667,1.728
279,279,37.0,6.18,0.98,620.0,2.33,37.81,-122.18,5.4446,3.367
280,280,34.0,6.95,1.0,442.0,2.27,37.8,-122.18,6.2838,3.182
281,281,23.0,7.06,1.02,955.0,2.91,37.8,-122.18,6.7527,2.858
282,282,24.0,7.59,0.98,916.0,2.83,37.77,-122.13,7.0712,2.93
283,283,22.0,6.53,1.04,4985.0,2.53,37.79,-122.16,5.9849,3.71
284,284,42.0,5.71,0.97,651.0,2.44,37.78,-122.17,3.6875,1.573
285,285,30.0,4.73,1.06,1704.0,2.42,37.77,-122.17,2.875,1.353
286,286,43.0,4.88,1.08,1085.0,2.67,37.78,-122.18,3.4205,1.367
287,287,50.0,5.78,1.13,713.0,2.51,37.78,-122.18,3.2984,1.607
288,288,49.0,4.93,0.98,468.0,2.59,37.78,-122.17,3.875,1.406
289,289,52.0,5.4,1.06,296.0,2.45,37.78,-122.17,4.175,1.44
290,290,47.0,5.76,1.0,570.0,2.61,37.77,-122.16,4.375,1.619
291,291,48.0,5.43,1.08,446.0,2.48,37.77,-122.16,4.7708,1.563
292,292,45.0,6.05,1.03,968.0,2.52,37.77,-122.16,3.5739,1.76
293,293,39.0,5.01,1.1,857.0,2.71,37.77,-122.16,3.0958,1.458
294,294,39.0,5.01,1.06,912.0,2.83,37.77,-122.17,3.3958,1.419
295,295,31.0,5.36,1.18,1360.0,3.01,37.77,-122.17,1.871,0.907
296,296,41.0,4.49,1.03,1074.0,3.03,37.76,-122.17,1.9356,0.906
297,297,47.0,5.54,1.08,965.0,2.53,37.76,-122.17,2.1842,1.079
298,298,37.0,4.92,1.12,933.0,2.92,37.76,-122.18,2.2917,1.07
299,299,38.0,4.98,1.12,987.0,2.79,37.76,-122.17,2.4333,0.982
300,300,50.0,4.83,1.06,907.0,3.69,37.76,-122.18,1.9479,0.895
301,301,52.0,4.57,1.06,447.0,2.71,37.76,-122.18,3.9063,0.938
302,302,49.0,5.12,1.0,1299.0,2.88,37.76,-122.18,1.8407,0.967
303,303,27.0,5.79,1.5,396.0,2.52,37.77,-122.18,2.0786,0.975
304,304,42.0,4.4,0.96,877.0,3.27,37.77,-122.18,2.8125,0.973
305,305,43.0,5.5,1.11,1111.0,3.03,37.76,-122.18,1.8913,0.912
306,306,49.0,5.09,1.05,790.0,2.94,37.76,-122.19,1.7056,0.914
307,307,52.0,4.95,0.99,1479.0,2.67,37.77,-122.18,2.2768,0.962
308,308,51.0,4.81,1.08,1173.0,2.68,37.77,-122.18,3.2552,1.201
309,309,52.0,4.78,0.99,1029.0,2.81,37.77,-122.18,2.0556,1.0
310,310,52.0,5.78,1.12,1030.0,2.94,37.76,-122.19,2.4659,0.947
311,311,47.0,4.0,0.93,826.0,2.96,37.76,-122.2,1.75,0.857
312,312,41.0,4.48,1.12,1412.0,3.11,37.77,-122.19,2.0469,0.893
313,313,45.0,5.31,1.13,1132.0,3.24,37.77,-122.19,2.7159,1.014
314,314,41.0,5.79,1.3,522.0,3.28,37.76,-122.19,1.2083,0.725
315,315,45.0,4.2,1.0,630.0,2.66,37.76,-122.19,1.925,0.741
316,316,36.0,4.56,0.99,531.0,3.99,37.75,-122.2,1.5809,0.7
317,317,37.0,4.02,1.1,1925.0,2.89,37.76,-122.2,1.4097,0.846
318,318,38.0,4.25,1.05,1144.0,3.26,37.76,-122.19,0.7683,0.818
319,319,19.0,4.24,1.09,1481.0,2.85,37.75,-122.19,1.3194,0.814
320,320,28.0,5.28,1.17,435.0,2.69,37.75,-122.19,0.8012,0.818
321,321,26.0,4.27,0.98,984.0,3.25,37.76,-122.19,1.9479,0.858
322,322,36.0,5.33,1.33,567.0,3.57,37.74,-122.19,1.1765,0.871
323,323,42.0,4.4,1.25,380.0,3.09,37.74,-122.18,2.3456,0.835
324,324,44.0,4.37,1.04,825.0,3.38,37.73,-122.19,2.1538,0.797
325,325,43.0,4.56,0.95,417.0,2.69,37.74,-122.19,2.5139,0.834
326,326,45.0,5.32,1.01,801.0,2.79,37.73,-122.19,1.2625,0.847
327,327,42.0,4.59,1.09,646.0,3.26,37.73,-122.18,2.9063,0.8
