,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,data_id
27,52.0,4.78,1.06,1102.0,2.78,37.85,-122.28,1020.3458186397984
28,50.0,4.4,1.04,1131.0,2.39,37.84,-122.28,1048.9511205073995
29,52.0,4.7,1.03,395.0,2.55,37.84,-122.28,313.1083870967742
30,49.0,5.07,1.18,863.0,2.28,37.84,-122.28,780.8430687830687
31,52.0,4.88,1.09,1168.0,2.65,37.84,-122.28,1086.2085260770975
32,48.0,5.74,1.22,1026.0,3.06,37.84,-122.27,944.6326865671642
33,49.0,5.03,1.11,754.0,2.29,37.83,-122.27,671.8517933130698
34,51.0,4.97,1.07,1258.0,2.35,37.83,-122.27,1175.907014925373
35,49.0,4.6,1.07,570.0,2.16,37.83,-122.27,487.7190909090909
36,48.0,4.81,1.16,987.0,2.64,37.83,-122.27,905.199037433155
37,52.0,3.75,0.97,901.0,2.24,37.83,-122.28,818.7857320099255
38,52.0,4.76,1.07,689.0,2.23,37.83,-122.26,606.7997734627832
39,52.0,3.49,1.03,1377.0,1.98,37.83,-122.26,1294.548448275862
40,52.0,4.22,1.06,946.0,2.39,37.83,-122.26,863.9649367088607
41,51.0,3.76,1.25,517.0,2.08,37.83,-122.26,434.6463052208835
42,49.0,3.77,1.07,462.0,2.44,37.84,-122.26,380.0244444444445
43,52.0,4.8,1.02,467.0,2.36,37.84,-122.26,384.9385858585858
44,52.0,4.94,1.07,660.0,2.26,37.83,-122.26,577.8302739726026
45,52.0,4.34,1.1,718.0,1.88,37.83,-122.26,635.4495811518324
46,50.0,3.7,1.06,616.0,2.03,37.83,-122.26,533.5963157894736
47,43.0,3.98,1.23,558.0,2.21,37.82,-122.27,475.755533596838
48,40.0,3.9,1.22,423.0,2.64,37.82,-122.26,341.20375
49,40.0,2.69,1.07,700.0,1.99,37.82,-122.27,617.5386363636363
50,21.0,2.05,1.03,735.0,1.68,37.82,-122.27,652.2280821917808
51,43.0,4.59,1.12,1061.0,2.61,37.82,-122.27,979.1568796068796
52,41.0,4.47,1.18,1959.0,2.72,37.82,-122.27,1877.2708333333333
53,52.0,4.08,1.14,1162.0,2.9,37.82,-122.27,1080.455
54,52.0,5.02,1.01,701.0,3.01,37.82,-122.28,619.5485836909871
55,52.0,4.3,1.1,576.0,2.62,37.82,-122.28,494.1581818181818
56,52.0,4.78,1.11,622.0,2.4,37.82,-122.28,539.9415444015443
57,52.0,6.1,1.37,728.0,2.98,37.82,-122.28,646.523606557377
58,52.0,4.56,1.12,1074.0,3.53,37.82,-122.28,993.072894736842
59,2.0,2.77,0.75,94.0,1.65,37.82,-122.29,11.179122807017546
60,52.0,5.99,1.13,554.0,2.96,37.83,-122.29,472.5025668449197
61,49.0,5.87,1.26,86.0,3.74,37.82,-122.29,5.2691304347826105
62,50.0,6.23,1.56,377.0,3.09,37.81,-122.29,295.6101639344262
63,52.0,7.7,1.49,521.0,3.28,37.81,-122.3,439.7867295597485
64,48.0,6.23,1.37,392.0,2.95,37.81,-122.3,310.45736842105265
65,52.0,5.4,1.12,604.0,3.23,37.81,-122.3,522.7399465240642
66,48.0,4.38,1.07,788.0,2.37,37.81,-122.3,705.8834939759037
67,52.0,6.99,1.66,492.0,3.35,37.8,-122.29,410.8569387755102
68,52.0,6.98,1.33,274.0,3.34,37.81,-122.3,192.8514634146341
69,46.0,4.58,1.05,1823.0,2.98,37.81,-122.29,1741.5036333878886
70,26.0,6.05,1.2,392.0,3.09,37.81,-122.29,310.6066141732283
71,46.0,3.38,1.07,582.0,2.1,37.81,-122.29,499.62108303249096
72,49.0,5.55,1.34,560.0,3.68,37.81,-122.29,479.20421052631576
73,46.0,1.71,0.57,18.0,2.57,37.81,-122.29,-63.90857142857144
74,20.0,6.28,1.21,290.0,2.18,37.81,-122.29,207.70045112781952
75,17.0,2.82,1.05,762.0,1.74,37.81,-122.28,679.2657630979498
76,36.0,5.72,1.1,1236.0,2.43,37.81,-122.28,1153.9582907662082
77,19.0,5.83,1.17,721.0,3.48,37.81,-122.28,640.0130917874396
78,23.0,5.37,1.15,1054.0,3.24,37.81,-122.29,972.7630769230768
79,38.0,4.41,1.14,344.0,2.22,37.8,-122.28,261.7393548387097
80,17.0,3.2,1.0,609.0,2.11,37.81,-122.28,526.6372664359861
81,52.0,3.75,1.0,183.0,3.27,37.81,-122.27,101.80785714285716
82,52.0,3.91,1.11,200.0,2.3,37.81,-122.28,117.82885057471265
83,52.0,2.49,1.06,346.0,2.23,37.81,-122.28,263.7622580645161
84,35.0,5.61,1.09,467.0,2.76,37.81,-122.28,385.2933136094674
85,52.0,6.72,1.24,377.0,3.28,37.81,-122.28,295.8082608695652
86,40.0,2.32,1.19,582.0,1.53,37.81,-122.27,499.0715789473685
87,10.0,2.65,1.05,546.0,1.65,37.81,-122.27,463.1945454545455
88,10.0,2.69,1.08,125.0,3.21,37.8,-122.27,43.735128205128206
89,52.0,2.93,0.92,396.0,4.66,37.8,-122.27,316.18882352941176
90,16.0,2.75,1.08,800.0,2.21,37.8,-122.27,717.7399447513812
91,52.0,2.44,0.99,904.0,10.27,37.8,-122.28,829.7927272727272
92,52.0,2.82,0.91,191.0,5.62,37.8,-122.28,112.13764705882352
93,27.0,3.49,1.15,718.0,2.38,37.79,-122.27,635.8974834437086
94,39.0,3.67,1.33,1327.0,2.84,37.8,-122.27,1245.3715417558883
95,36.0,2.29,1.07,3469.0,1.49,37.8,-122.26,3386.033327593629
96,31.0,3.89,1.13,2048.0,1.74,37.82,-122.26,1965.295593220339
97,29.0,3.68,1.18,202.0,2.22,37.81,-122.26,119.76978021978022
98,22.0,2.95,1.02,2024.0,1.62,37.82,-122.26,1941.1792
99,37.0,3.71,1.11,1838.0,1.88,37.82,-122.26,1755.4355102040815
100,29.0,3.72,1.13,2304.0,1.84,37.81,-122.25,2221.4032
101,28.0,3.88,1.07,2563.0,1.71,37.81,-122.25,2480.2720908483634
102,39.0,3.75,1.06,389.0,1.71,37.81,-122.25,306.2661403508772
103,52.0,3.52,1.14,895.0,1.46,37.81,-122.25,812.0200326264273
104,34.0,3.28,1.07,2689.0,1.5,37.81,-122.26,2606.0530743432087
105,52.0,6.18,0.92,674.0,2.76,37.82,-122.24,592.3422950819672
106,52.0,4.44,1.06,709.0,1.55,37.81,-122.24,626.1248245614036
107,52.0,4.17,1.09,686.0,1.63,37.81,-122.25,603.1855924170616
108,52.0,4.85,1.05,1444.0,2.01,37.82,-122.24,1361.5911420612813
109,28.0,4.16,1.07,1520.0,1.9,37.82,-122.25,1437.4652618453863
110,52.0,5.63,1.14,550.0,2.17,37.82,-122.25,467.74391304347824
111,32.0,3.73,1.07,1806.0,1.77,37.82,-122.25,1723.3371232876711
112,26.0,3.25,0.98,1749.0,1.44,37.82,-122.25,1666.0071405094493
113,52.0,4.58,1.08,939.0,1.81,37.83,-122.25,856.3892485549134
114,35.0,3.82,1.01,675.0,1.6,37.83,-122.25,592.1795260663507
115,52.0,4.4,0.99,534.0,1.84,37.83,-122.25,451.4150515463917
116,28.0,3.02,1.05,2558.0,1.54,37.83,-122.25,2475.120036122817
117,52.0,4.04,1.07,1786.0,1.72,37.83,-122.25,1703.302275795564
118,50.0,6.74,1.07,970.0,2.6,37.84,-122.23,888.2105361930295
119,47.0,6.55,0.94,1098.0,2.26,37.84,-122.23,1015.8739175257732
120,41.0,6.85,1.08,794.0,2.11,37.83,-122.24,711.7017021276596
121,37.0,7.11,1.15,98.0,2.09,37.85,-122.24,15.695106382978738
122,52.0,6.95,1.02,1061.0,2.63,37.85,-122.23,979.2527543424318
123,52.0,6.36,1.03,1177.0,2.12,37.84,-122.24,1094.7207207207207
124,52.0,7.12,0.99,901.0,2.46,37.85,-122.24,819.0650408719346
125,28.0,5.53,1.1,2031.0,2.12,37.85,-122.22,1948.754476987448
126,50.0,6.13,0.99,1031.0,2.15,37.84,-122.22,948.7724008350732
127,44.0,5.74,1.0,1358.0,2.27,37.84,-122.21,1275.9047068676718
128,40.0,7.63,1.03,1616.0,2.47,37.83,-122.21,1534.0909480122325
129,30.0,6.45,1.01,844.0,2.46,37.84,-122.2,762.1006413994169
130,34.0,6.12,0.99,1140.0,2.3,37.84,-122.21,1057.9283870967745
131,18.0,8.34,1.08,533.0,2.75,37.84,-122.19,451.3974226804124
132,35.0,6.47,1.04,1072.0,2.42,37.84,-122.2,990.0598645598194
133,34.0,6.61,1.03,1627.0,2.12,37.83,-122.21,1544.7440208877283
134,28.0,6.98,0.97,463.0,2.44,37.83,-122.19,381.0768421052632
135,26.0,7.53,1.06,542.0,2.57,37.83,-122.2,460.1987203791469
136,29.0,6.66,1.01,661.0,2.46,37.83,-122.19,579.097249070632
137,32.0,6.98,1.0,635.0,2.41,37.82,-122.19,553.0444486692015
138,37.0,6.98,1.03,420.0,2.39,37.82,-122.2,338.00636363636363
139,39.0,7.54,1.07,1265.0,2.53,37.82,-122.2,1183.15
140,30.0,5.62,0.73,126.0,2.42,37.81,-122.18,44.05307692307692
141,52.0,6.79,0.95,813.0,2.32,37.82,-122.21,730.9328571428572
142,45.0,6.96,1.02,1067.0,2.5,37.81,-122.2,985.1146948356808
143,50.0,5.13,1.1,1260.0,2.28,37.8,-122.21,1177.8726086956522
144,38.0,4.63,1.1,951.0,1.95,37.8,-122.21,868.542772073922
145,52.0,6.2,0.95,510.0,2.28,37.81,-122.21,427.87678571428575
146,52.0,6.4,1.09,765.0,2.48,37.81,-122.22,683.0737662337663
147,52.0,4.75,1.01,1129.0,2.45,37.8,-122.22,1047.0343478260868
148,52.0,5.18,1.05,1073.0,2.43,37.8,-122.22,991.0131065759638
149,52.0,5.28,1.05,1185.0,2.3,37.8,-122.22,1102.8809708737865
150,52.0,5.95,1.0,756.0,2.22,37.81,-122.22,673.8135294117648
151,52.0,5.65,1.03,1034.0,1.98,37.81,-122.22,951.5746449136276
152,52.0,4.43,1.06,787.0,1.71,37.8,-122.23,704.284596949891
153,52.0,6.73,1.08,612.0,2.87,37.81,-122.23,530.4532394366198
154,52.0,7.7,1.06,1021.0,2.69,37.81,-122.22,939.2768421052632
155,52.0,8.97,1.13,861.0,3.34,37.81,-122.23,779.9172093023257
156,52.0,7.6,0.96,953.0,2.91,37.81,-122.24,871.4843730886851
157,52.0,5.82,0.93,634.0,2.48,37.81,-122.24,552.0465625
158,52.0,7.99,1.04,878.0,2.49,37.81,-122.23,796.0743181818182
159,52.0,4.33,1.14,918.0,1.9,37.81,-122.24,835.4706211180124
160,52.0,5.07,0.96,360.0,2.06,37.8,-122.24,277.6171428571429
161,52.0,4.28,1.05,1197.0,2.45,37.8,-122.25,1115.002868852459
162,52.0,4.85,0.97,1048.0,2.02,37.81,-122.24,965.593166023166
163,46.0,4.33,1.12,1373.0,1.84,37.81,-122.25,1290.3980187416332
164,42.0,4.06,1.05,1715.0,1.69,37.8,-122.25,1632.2396551724137
165,43.0,3.27,1.1,1359.0,1.88,37.8,-122.25,1276.432271468144
166,41.0,3.56,1.14,1062.0,2.57,37.8,-122.25,980.1214285714284
167,29.0,3.19,1.12,1335.0,1.73,37.8,-122.25,1252.2770375161708
168,27.0,3.8,1.15,1171.0,2.73,37.79,-122.24,1089.2796037296037
169,45.0,3.88,1.14,1475.0,3.21,37.79,-122.25,1393.7465217391305
170,50.0,3.21,0.96,742.0,3.79,37.79,-122.25,661.3257142857143
171,52.0,3.69,1.08,1086.0,2.99,37.79,-122.25,1004.53173553719
172,36.0,3.09,1.12,1645.0,3.03,37.8,-122.25,1563.5794659300184
173,43.0,3.64,1.0,1710.0,2.66,37.8,-122.25,1628.2052795031057
174,52.0,4.37,1.0,731.0,3.21,37.8,-122.24,649.7661403508771
175,52.0,4.59,1.07,1118.0,3.22,37.8,-122.24,1036.781902017291
176,52.0,4.73,1.19,1006.0,3.0,37.8,-122.24,924.5629850746268
177,47.0,3.69,1.06,1213.0,2.19,37.8,-122.24,1130.7495306859205
178,52.0,4.64,1.12,772.0,3.0,37.8,-122.23,690.5738910505836
179,52.0,4.5,1.05,1321.0,3.29,37.8,-122.24,1239.854264339152
180,49.0,4.19,1.11,1487.0,2.2,37.8,-122.24,1404.756454948301
181,52.0,4.21,0.99,488.0,2.62,37.8,-122.23,406.1936559139785
182,51.0,4.06,1.06,949.0,2.42,37.8,-122.23,866.9909183673469
183,50.0,4.21,1.16,1149.0,2.77,37.8,-122.23,1067.338674698795
184,52.0,4.47,1.07,844.0,3.01,37.8,-122.23,762.5842857142857
185,43.0,4.84,1.09,4367.0,3.55,37.79,-122.23,4286.107522339562
186,52.0,4.33,0.96,1659.0,4.03,37.79,-122.23,1578.586699029126
187,30.0,3.8,1.0,1011.0,3.84,37.79,-122.23,930.4041064638784
188,39.0,3.78,1.11,1464.0,3.76,37.79,-122.24,1383.313496143959
189,47.0,4.53,1.3,1237.0,4.08,37.79,-122.24,1156.6325082508251
190,52.0,4.01,1.07,647.0,3.85,37.79,-122.24,566.4011904761904
191,43.0,4.55,1.05,1284.0,3.6,37.79,-122.24,1203.146638655462
192,51.0,3.18,0.78,228.0,4.15,37.79,-122.25,147.68545454545455
193,39.0,3.75,1.05,381.0,3.1,37.79,-122.25,299.63756097560974
194,52.0,3.97,1.04,846.0,3.73,37.79,-122.25,765.266872246696
195,20.0,3.51,1.15,1659.0,2.45,37.8,-122.26,1576.9941420118344
196,52.0,2.83,0.93,520.0,3.77,37.77,-122.22,439.318115942029
197,52.0,4.39,1.16,866.0,3.34,37.77,-122.22,784.8936293436293
198,52.0,4.2,1.13,612.0,3.34,37.77,-122.23,530.884262295082
199,52.0,3.75,1.16,415.0,3.29,37.78,-122.23,333.8436507936508
200,52.0,4.05,1.01,994.0,4.67,37.78,-122.23,914.2166666666666
201,50.0,4.03,1.11,1525.0,3.2,37.78,-122.22,1443.757064989518
202,43.0,3.24,1.08,1506.0,3.44,37.78,-122.23,1424.9883561643835
203,52.0,3.87,1.01,1008.0,3.95,37.78,-122.23,927.5029411764706
204,44.0,3.12,1.1,2813.0,3.75,37.78,-122.23,2732.2956724367514
205,48.0,4.94,1.15,1481.0,4.32,37.79,-122.23,1400.8777842565596
206,49.0,5.37,0.99,859.0,3.92,37.79,-122.23,778.4823744292237
207,37.0,4.48,1.1,1608.0,3.07,37.79,-122.22,1526.644569789675
208,30.0,4.36,1.04,425.0,3.04,37.79,-122.23,343.5957142857143
209,40.0,5.05,1.08,564.0,3.07,37.79,-122.23,482.6252173913044
210,44.0,5.47,1.15,961.0,3.53,37.79,-122.22,880.1030882352941
211,52.0,5.0,1.01,2273.0,3.32,37.79,-122.22,2191.8882481751825
212,52.0,3.91,0.97,600.0,3.08,37.79,-122.21,518.6569230769231
213,46.0,4.49,1.09,1647.0,3.13,37.79,-122.22,1565.695237191651
214,49.0,4.31,1.06,1201.0,2.83,37.79,-122.22,1119.4025471698112
215,38.0,4.63,1.08,2167.0,3.29,37.79,-122.22,2085.8583156297423
216,29.0,4.82,1.11,939.0,2.76,37.79,-122.2,857.3517647058824
217,47.0,5.28,1.05,859.0,2.94,37.79,-122.21,777.5217808219179
218,34.0,4.58,1.08,1517.0,2.94,37.79,-122.21,1435.5199224806202
219,35.0,4.52,1.06,1143.0,2.96,37.79,-122.21,1061.541139896373
220,39.0,4.32,1.08,1109.0,2.39,37.8,-122.21,1026.9800862068964
221,39.0,4.52,1.0,1221.0,2.74,37.8,-122.21,1139.327668161435
222,43.0,6.69,1.1,1115.0,2.45,37.8,-122.2,1033.0505494505494
223,52.0,5.77,1.09,706.0,2.63,37.8,-122.2,624.2343283582089
224,52.0,4.98,1.01,1883.0,2.67,37.8,-122.21,1801.2571388101985
225,41.0,6.09,1.04,804.0,2.36,37.8,-122.2,721.964705882353
226,48.0,5.24,1.04,506.0,2.01,37.8,-122.21,423.5979365079365
227,48.0,7.12,1.09,610.0,2.56,37.8,-122.19,528.173025210084
228,46.0,5.84,1.03,768.0,2.31,37.8,-122.19,685.9232530120482
229,50.0,5.26,1.06,462.0,2.51,37.79,-122.19,380.1108695652174
230,40.0,4.51,1.09,667.0,2.84,37.79,-122.2,585.4282978723404
231,46.0,5.12,1.02,1059.0,2.65,37.8,-122.2,977.254135338346
232,52.0,6.55,0.98,637.0,2.3,37.8,-122.19,554.9096389891697
233,45.0,5.99,0.99,1106.0,2.44,37.79,-122.19,1024.0361233480176
234,28.0,4.7,1.14,1737.0,2.6,37.79,-122.19,1655.1964125560537
235,35.0,4.62,1.18,1009.0,2.59,37.79,-122.2,927.1771794871796
236,49.0,4.2,0.93,737.0,3.51,37.79,-122.2,656.0995238095238
237,44.0,3.3,0.92,1354.0,2.76,37.79,-122.2,1272.3476374745417
238,45.0,4.46,1.12,1530.0,3.23,37.79,-122.21,1448.8078481012658
239,45.0,4.21,1.1,1410.0,2.94,37.79,-122.2,1328.5275
240,46.0,3.93,0.89,1390.0,2.44,37.78,-122.21,1308.0128822495606
241,52.0,5.49,1.12,1065.0,3.96,37.78,-122.21,984.5291078066916
242,52.0,4.31,0.91,792.0,3.23,37.78,-122.21,710.8026530612245
243,49.0,3.67,1.0,779.0,3.18,37.78,-122.21,697.7495918367348
244,44.0,4.87,1.16,2269.0,3.72,37.78,-122.22,2188.2796721311474
245,43.0,4.18,1.13,1227.0,3.01,37.78,-122.21,1145.584742014742
246,47.0,3.66,1.03,753.0,3.12,37.78,-122.21,671.6944813278009
247,40.0,3.66,0.84,547.0,4.05,37.77,-122.22,466.6018518518519
248,50.0,4.04,1.08,1807.0,4.11,37.78,-122.22,1726.666818181818
249,44.0,3.39,1.04,1700.0,3.43,37.78,-122.22,1618.9943434343434
250,51.0,4.17,1.18,1543.0,3.93,37.78,-122.22,1462.4862086513997
251,52.0,4.73,1.05,1085.0,3.62,37.76,-122.21,1004.1666666666666
252,52.0,4.31,1.26,353.0,2.58,37.77,-122.21,271.13664233576645
253,52.0,5.0,1.03,473.0,3.17,37.77,-122.21,391.7344966442953
254,49.0,4.7,1.03,1621.0,3.36,37.77,-122.2,1539.9261076604555
255,46.0,3.49,1.06,1183.0,3.34,37.77,-122.21,1101.9018079096045
256,43.0,3.67,1.18,836.0,3.02,37.77,-122.21,754.5780505415162
257,42.0,3.54,0.97,900.0,3.42,37.77,-122.19,819.0020532319392
258,39.0,5.01,1.11,1888.0,3.52,37.77,-122.2,1807.08582867784
259,41.0,4.54,1.22,1024.0,3.0,37.77,-122.2,942.5729325513196
260,52.0,5.44,1.05,1225.0,2.9,37.78,-122.2,1143.4759810874705
261,39.0,4.66,1.06,1071.0,2.85,37.78,-122.2,989.4284042553192
262,50.0,4.94,1.07,1128.0,2.98,37.78,-122.2,1046.564126984127
263,43.0,5.02,1.04,1537.0,3.18,37.77,-122.2,1455.7456198347106
264,44.0,4.4,1.05,1240.0,3.16,37.78,-122.21,1158.7252162849873
265,52.0,6.11,1.07,469.0,2.79,37.78,-122.19,387.3816666666667
266,52.0,5.11,1.01,1086.0,2.56,37.77,-122.19,1004.135294117647
267,52.0,5.59,1.07,1144.0,2.74,37.77,-122.19,1062.3234052757794
268,52.0,6.65,1.11,1109.0,2.96,37.78,-122.19,1027.5473333333332
269,52.0,5.96,1.08,984.0,2.67,37.78,-122.19,902.2566666666668
270,33.0,3.02,0.66,575.0,12.23,37.78,-122.18,502.8340425531915
271,49.0,5.66,0.98,496.0,2.37,37.78,-122.19,413.9632057416269
272,52.0,5.63,1.02,555.0,2.92,37.78,-122.19,473.511052631579
273,45.0,5.4,1.02,869.0,2.66,37.78,-122.2,787.2374923547401
274,39.0,5.82,0.9,236.0,2.23,37.79,-122.18,153.8364150943396
275,41.0,6.59,1.09,626.0,2.93,37.79,-122.18,544.5352336448598
276,46.0,6.41,1.18,922.0,2.8,37.79,-122.18,840.4124316109422
277,47.0,4.8,0.95,582.0,2.27,37.79,-122.19,499.8734375
278,50.0,4.75,1.08,546.0,2.72,37.79,-122.19,464.3164179104478
279,37.0,6.18,0.98,620.0,2.33,37.81,-122.18,537.9608270676691
280,34.0,6.95,1.0,442.0,2.27,37.8,-122.18,359.88666666666666
281,23.0,7.06,1.02,955.0,2.91,37.8,-122.18,873.5315853658536
282,24.0,7.59,0.98,916.0,2.83,37.77,-122.13,834.4671604938271
283,22.0,6.53,1.04,4985.0,2.53,37.79,-122.16,4903.164316217591
284,42.0,5.71,0.97,651.0,2.44,37.78,-122.17,569.048202247191
285,30.0,4.73,1.06,1704.0,2.42,37.77,-122.17,1622.0238975817922
286,43.0,4.88,1.08,1085.0,2.67,37.78,-122.18,1003.2658476658476
287,50.0,5.78,1.13,713.0,2.51,37.78,-122.18,631.1105633802817
288,49.0,4.93,0.98,468.0,2.59,37.78,-122.17,386.195635359116
289,52.0,5.4,1.06,296.0,2.45,37.78,-122.17,214.05628099173555
290,47.0,5.76,1.0,570.0,2.61,37.77,-122.16,488.22467889908256
291,48.0,5.43,1.08,446.0,2.48,37.77,-122.16,364.0877777777778
292,45.0,6.05,1.03,968.0,2.52,37.77,-122.16,886.1308333333334
293,39.0,5.01,1.1,857.0,2.71,37.77,-122.16,775.3220253164557
294,39.0,5.01,1.06,912.0,2.83,37.77,-122.17,830.432298136646
295,31.0,5.36,1.18,1360.0,3.01,37.77,-122.17,1278.608849557522
296,41.0,4.49,1.03,1074.0,3.03,37.76,-122.17,992.615352112676
297,47.0,5.54,1.08,965.0,2.53,37.76,-122.17,883.1161780104712
298,37.0,4.92,1.12,933.0,2.92,37.76,-122.18,851.4956249999999
299,38.0,4.98,1.12,987.0,2.79,37.76,-122.17,905.3781355932203
300,50.0,4.83,1.06,907.0,3.69,37.76,-122.18,826.2669918699186
301,52.0,4.57,1.06,447.0,2.71,37.76,-122.18,365.2890909090909
302,49.0,5.12,1.0,1299.0,2.88,37.76,-122.18,1217.460266075388
303,27.0,5.79,1.5,396.0,2.52,37.77,-122.18,314.1122929936306
304,42.0,4.4,0.96,877.0,3.27,37.77,-122.18,795.8623880597015
305,43.0,5.5,1.11,1111.0,3.03,37.76,-122.18,1029.6072479564032
306,49.0,5.09,1.05,790.0,2.94,37.76,-122.19,708.5068029739776
307,52.0,4.95,0.99,1479.0,2.67,37.77,-122.18,1397.2596750902526
308,51.0,4.81,1.08,1173.0,2.68,37.77,-122.18,1091.2680821917806
309,52.0,4.78,0.99,1029.0,2.81,37.77,-122.18,947.401475409836
310,52.0,5.78,1.12,1030.0,2.94,37.76,-122.19,948.5128571428572
311,47.0,4.0,0.93,826.0,2.96,37.76,-122.2,744.5205734767025
312,41.0,4.48,1.12,1412.0,3.11,37.77,-122.19,1330.69013215859
313,45.0,5.31,1.13,1132.0,3.24,37.77,-122.19,1050.8235530085958
314,41.0,5.79,1.3,522.0,3.28,37.76,-122.19,440.8530188679245
315,45.0,4.2,1.0,630.0,2.66,37.76,-122.19,548.2282278481013
316,36.0,4.56,0.99,531.0,3.99,37.75,-122.2,450.5424812030075
317,37.0,4.02,1.1,1925.0,2.89,37.76,-122.2,1843.4460569715145
318,38.0,4.25,1.05,1144.0,3.26,37.76,-122.19,1062.8292592592593
319,19.0,4.24,1.09,1481.0,2.85,37.75,-122.19,1399.4080769230768
320,28.0,5.28,1.17,435.0,2.69,37.75,-122.19,353.2451851851852
321,26.0,4.27,0.98,984.0,3.25,37.76,-122.19,902.8175247524752
322,36.0,5.33,1.33,567.0,3.57,37.74,-122.19,486.1160377358491
323,42.0,4.4,1.25,380.0,3.09,37.74,-122.18,298.6494308943089
324,44.0,4.37,1.04,825.0,3.38,37.73,-122.19,743.9211475409836
325,43.0,4.56,0.95,417.0,2.69,37.74,-122.19,335.2403225806452
326,45.0,5.32,1.01,801.0,2.79,37.73,-122.19,719.3309407665505
327,42.0,4.59,1.09,646.0,3.26,37.73,-122.18,564.8126262626262
328,43.0,4.88,1.03,855.0,3.0,37.73,-122.18,773.55
329,44.0,4.03,0.88,435.0,3.2,37.73,-122.18,353.74852941176465
330,42.0,5.22,1.12,2736.0,3.51,37.73,-122.18,2655.0576923076924
331,41.0,3.9,1.07,1481.0,3.58,37.74,-122.17,1400.1472946859903
332,47.0,3.38,0.98,327.0,2.39,37.74,-122.17,244.9568613138686
333,43.0,4.57,1.08,494.0,2.76,37.74,-122.17,412.32977653631286
334,43.0,4.32,1.09,1231.0,3.61,37.73,-122.17,1150.1699706744866
335,35.0,4.62,1.16,323.0,2.96,37.74,-122.18,241.5233027522936
336,46.0,4.56,1.0,749.0,3.33,37.74,-122.17,667.8988888888888
337,46.0,4.32,1.03,693.0,3.89,37.74,-122.17,612.4632584269663
338,46.0,5.94,1.1,1339.0,3.78,37.74,-122.18,1258.3424858757062
339,45.0,4.12,0.95,282.0,3.52,37.75,-122.18,201.095
340,46.0,4.83,1.12,621.0,3.18,37.75,-122.18,539.7546153846154
341,38.0,3.83,1.08,732.0,2.83,37.75,-122.17,650.4062548262549
342,45.0,3.81,1.0,901.0,3.47,37.75,-122.18,820.0353846153846
343,36.0,7.51,1.75,482.0,3.21,37.75,-122.19,400.7733333333333
344,43.0,4.86,1.09,652.0,3.06,37.75,-122.18,570.6310328638497
345,36.0,6.31,1.29,651.0,3.92,37.75,-122.18,570.4916867469879
346,33.0,4.48,1.07,999.0,3.49,37.76,-122.17,918.0830069930072
347,43.0,5.19,1.05,907.0,2.96,37.75,-122.17,825.5440522875817
348,41.0,5.47,1.18,828.0,3.6,37.75,-122.17,747.1800000000001
349,44.0,4.8,0.98,763.0,3.0,37.75,-122.17,681.583937007874
350,48.0,5.02,1.12,935.0,2.68,37.75,-122.17,853.2590830945559
351,45.0,4.75,1.06,1437.0,2.97,37.76,-122.16,1355.5690082644628
